"Ano","Municipio","Emissao","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2009,1301506,509024.472736894,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301605,155987.43667165,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301654,433265.569136637,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301704,822200.17876275,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301803,275413.850272783,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301852,727108.44234623,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301902,1390065.29778537,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301951,134978.826059568,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302009,131110.075754324,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302108,11471.396494994,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302207,174508.631701,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302306,222366.82593128,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302405,4061845.52888759,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
