"UF","Ano","Mes","Qtde_Focos","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
26,2008,9,95,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,9,14,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,9,0,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,9,4961,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,9,2765,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,9,95,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,9,177,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,9,589,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,9,653,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,9,399,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,9,273,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,9,1754,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,9,9639,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,9,1464,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,9,56,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,10,2548,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,10,856,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,10,1156,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,10,112,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,10,11568,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,10,651,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,10,3547,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,10,5018,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,10,2125,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,10,1014,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,10,80,NA,NA,NA,NA,NA,NA,23.54012765,17.67,NA,NA,NA,NA,NA,NA,NA,NA
