"Ano","CodIbge","Latitude","Longitude","AreaKm2","Desmatada","Incremento","Floresta","Nuvem","NaoObservado","NaoFloresta","Hidrografia","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2009,1303908,-4.73714,-69.52392,20467,175.2,0.7,18635.8,980.3,1.6,86.3,587.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303957,-1.89625,-58.81001,10776,197.9,2.2,9807.7,77,1.9,65.7,625.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304005,-2.85099,-58.49614,3758,426.7,0.3,2403.2,199.6,1.1,128.7,598.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304062,-4.02878,-69.69786,3343,155.6,1.1,2554.2,548.4,31.5,1.3,52,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304104,-5.93398,-65.97188,90962,305.9,1.2,85794.5,1197.1,2,2161.1,1501.4,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304203,-4.41301,-65.57764,24186,625.1,4.5,22348.9,314.5,3.9,168.9,724.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304237,-2.57583,-67.47268,6619,81.5,0.4,6092.3,60,2.1,67.4,315.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304260,-3.20648,-65.43058,10448,239.5,0.5,9464.7,209.4,2.2,100.4,431.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304302,-1.24938,-58.78714,28012,333.8,1.6,26129.7,476.8,2.3,423,646.4,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1304401,-2.8349,-57.83095,2915,93.6,0,34,96.9,0.5,1689.6,1000.4,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2010,1300029,-3.67425,-65.34586,6027,319.7,6.8,5540.2,1.2,0.3,38,127.6,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
2010,1300060,-3.42104,-68.34925,4903,112.5,1,4201.5,152.6,0.3,222.5,213.6,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
