"Ano","Mes","Dia","Fator.de.Emissao..tCO2.MWh.","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2008,7,11,0.4061,NA,NA,NA,NA,NA,NA,42.57817826,27,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,12,0.4088,NA,NA,NA,NA,NA,NA,42.57817826,27,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,13,0.4387,NA,NA,NA,NA,NA,NA,42.57817826,27,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,14,0.3372,NA,NA,NA,NA,NA,NA,42.29432374,26.82,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,15,0.3427,NA,NA,NA,NA,NA,NA,41.75815409,26.48,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,16,0.409,NA,NA,NA,NA,NA,NA,38.99845735,24.73,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,17,0.4426,NA,NA,NA,NA,NA,NA,39.89733,25.3,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,18,0.4282,NA,NA,NA,NA,NA,NA,38.00496652,24.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,19,0.4501,NA,NA,NA,NA,NA,NA,38.00496652,24.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,20,0.4792,NA,NA,NA,NA,NA,NA,38.00496652,24.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,21,0.3723,NA,NA,NA,NA,NA,NA,38.28882104,24.28,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,22,0.3389,NA,NA,NA,NA,NA,NA,38.33613013,24.31,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,23,0.313,NA,NA,NA,NA,NA,NA,38.36766952,24.33,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,24,0.3648,NA,NA,NA,NA,NA,NA,39.04576643,24.76,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,25,0.375,NA,NA,NA,NA,NA,NA,38.73037252,24.56,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,26,0.425,NA,NA,NA,NA,NA,NA,38.73037252,24.56,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,27,0.5336,NA,NA,NA,NA,NA,NA,38.73037252,24.56,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,28,0.4598,NA,NA,NA,NA,NA,NA,38.11535439,24.17,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,29,0.4174,NA,NA,NA,NA,NA,NA,36.633003,23.23,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,30,0.4201,NA,NA,NA,NA,NA,NA,34.85102739,22.1,NA,NA,NA,NA,NA,NA,NA,NA
