"UF","Ano","Abrangencia","CO2e","CO2","CH4","N2O","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
25,2008,2,2700,97,86.2,2.56,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,3,2554,2365,6.2,0.19,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,4,1780,1698,2.7,0.08,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,5,859,813,NA,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,6,1124,38,49.2,0.17,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,1,19025,10188,308,7.3,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,2,5726,23,179.2,6.26,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,3,7147,6673,15,0.51,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,4,2804,2666,4.5,0.14,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,5,896,790,0,0,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,6,2451,37,109.2,0.39,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,1,9373,5382,127.3,4.13,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,2,2815,22,80.8,3.54,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,3,3411,3164,6.8,0.34,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,4,1958,1859,3.3,0.1,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,5,343,304,0,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,6,846,34,36.5,0.15,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,1,9993,6830,107,2.87,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,2,2351,62,74.2,2.36,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,3,4684,4407,8.1,0.35,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,4,1346,1268,2.5,0.08,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,5,1105,1080,NA,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,6,507,13,22.2,0.09,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,1,102349,71265,1012.9,30.82,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,2,23898,478,755.7,24.35,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,3,23888,22521,35.6,2,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,4,47892,44710,102.7,3.31,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,5,3880,3378,4.3,0.5,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,6,2791,178,114.7,0.66,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,1,132979,74365,1878.1,58.73,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,2,49420,1784,1494.1,52.45,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,3,33416,31633,44.2,2.76,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,4,20298,18561,55.3,1.86,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,5,24132,22298,29.1,0.83,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,6,5713,90,255.3,0.84,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,1,24003,17630,205.5,6.5,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,2,4658,133,137.6,5.27,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,3,12267,11523,19.7,1.07,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,4,-3992,-3933,-1.9,-0.06,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,5,10036,9890,3.9,0.07,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,6,1034,16,46.3,0.15,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,1,85973,69781,615.3,9.11,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,2,4503,28,142.2,4.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,3,61709,57644,140.8,3.58,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,4,739,632,3.5,0.11,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,5,11937,11442,2.2,0,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,6,7085,36,326.6,0.62,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,1,127097,80151,1349.5,57.58,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,2,32719,2021,756,47.81,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,3,78991,74877,107.4,5.99,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,4,-13078,-13178,3.4,0.09,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,5,17835,16379,2.4,2.09,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,6,10629,52,480.2,1.59,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,1,45687,15073,858,40.21,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,2,27233,1498,671.5,37.53,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,3,19459,18249,31.2,1.79,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,4,-7326,-7767,14.5,0.44,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,5,3183,3053,0,0,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,6,3138,40,140.7,0.46,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,1,21635,6657,480.4,15.53,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,2,11770,520,327.7,14.09,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,3,13257,11478,69.7,1.02,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,4,-5715,-5878,5.3,0.16,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,5,592,518,NA,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,6,1732,19,77.8,0.26,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,1,75429,31588,1520.2,38.01,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,2,39322,1190,1308.3,34.38,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,3,17678,16328,34.9,1.99,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,4,11301,10203,35.1,1.16,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,5,4025,3825,3.2,0,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,6,3102,42,138.6,0.48,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,1,84441,41028,1536.1,35.89,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,2,41032,997,1421.9,32.82,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,3,4207,3993,5.6,0.31,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,4,37870,35530,72.6,2.63,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,5,561,492,1.5,0.03,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,6,772,15,34.5,0.1,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,1,269839,210223,1990.9,57.33,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,2,51126,2019,1643.1,47.1,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,3,6538,6226,7.6,0.49,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,4,210940,201557,305.1,9.6,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,5,441,405,NA,NA,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,794,16,35.1,0.13,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
